# T  muB  muS  muQ  dnB
  8.000000e+01   8.115000e+02   0.000000e+00  -3.150000e+02   5.707893e-02
  8.000000e+01   8.125000e+02   0.000000e+00  -3.140000e+02   5.540955e-02
  8.000000e+01   8.135000e+02   0.000000e+00  -3.130000e+02   5.159962e-02
  8.000000e+01   8.135000e+02   0.000000e+00  -3.120000e+02   5.084982e-02
  8.000000e+01   8.145000e+02   0.000000e+00  -3.110000e+02   6.675382e-02
  8.000000e+01   8.155000e+02   0.000000e+00  -3.100000e+02   7.642297e-02
  8.000000e+01   8.165000e+02   0.000000e+00  -3.090000e+02   7.851879e-02
  8.000000e+01   8.175000e+02   0.000000e+00  -3.080000e+02   7.988405e-02
  8.000000e+01   8.185000e+02   0.000000e+00  -3.070000e+02   6.737256e-02
  8.000000e+01   8.185000e+02   0.000000e+00  -3.060000e+02   1.111273e-01
  8.000000e+01   8.195000e+02   0.000000e+00  -3.050000e+02   1.169885e-01
  8.000000e+01   8.205000e+02   0.000000e+00  -3.040000e+02   1.218731e-01
  8.000000e+01   8.215000e+02   0.000000e+00  -3.030000e+02   1.247119e-01
  8.000000e+01   8.215000e+02   0.000000e+00  -3.020000e+02   1.276470e-01
  8.000000e+01   8.225000e+02   0.000000e+00  -3.010000e+02   1.380656e-01
  8.000000e+01   8.235000e+02   0.000000e+00  -3.000000e+02   1.497906e-01
  8.000000e+01   8.235000e+02   0.000000e+00  -2.990000e+02   1.393669e-01
  8.000000e+01   8.245000e+02   0.000000e+00  -2.980000e+02   1.523003e-01
  8.000000e+01   8.255000e+02   0.000000e+00  -2.970000e+02   1.670785e-01
  8.000000e+01   8.265000e+02   0.000000e+00  -2.960000e+02   1.840945e-01
  8.000000e+01   8.265000e+02   0.000000e+00  -2.950000e+02   1.678262e-01
  8.000000e+01   8.275000e+02   0.000000e+00  -2.940000e+02   1.863814e-01
  8.000000e+01   8.285000e+02   0.000000e+00  -2.930000e+02   2.083158e-01
  8.000000e+01   8.285000e+02   0.000000e+00  -2.920000e+02   1.805155e-01
  8.000000e+01   8.295000e+02   0.000000e+00  -2.910000e+02   2.045670e-01
  8.000000e+01   8.305000e+02   0.000000e+00  -2.900000e+02   2.339914e-01
  8.000000e+01   8.305000e+02   0.000000e+00  -2.890000e+02   1.980052e-01
  8.000000e+01   8.315000e+02   0.000000e+00  -2.880000e+02   2.309850e-01
  8.000000e+01   8.325000e+02   0.000000e+00  -2.870000e+02   2.609707e-01
  8.000000e+01   8.335000e+02   0.000000e+00  -2.860000e+02   2.687357e-01
  8.000000e+01   8.335000e+02   0.000000e+00  -2.850000e+02   2.625774e-01
  8.000000e+01   8.345000e+02   0.000000e+00  -2.840000e+02   2.781185e-01
  8.000000e+01   8.345000e+02   0.000000e+00  -2.830000e+02   2.409942e-01
  8.000000e+01   8.355000e+02   0.000000e+00  -2.820000e+02   2.888620e-01
  8.000000e+01   8.365000e+02   0.000000e+00  -2.810000e+02   2.984182e-01
  8.000000e+01   8.365000e+02   0.000000e+00  -2.800000e+02   2.978021e-01
  8.000000e+01   8.375000e+02   0.000000e+00  -2.790000e+02   3.068536e-01
  8.000000e+01   8.385000e+02   0.000000e+00  -2.780000e+02   3.162834e-01
  8.000000e+01   8.385000e+02   0.000000e+00  -2.770000e+02   3.136745e-01
  8.000000e+01   8.395000e+02   0.000000e+00  -2.760000e+02   3.236295e-01
  8.000000e+01   8.395000e+02   0.000000e+00  -2.750000e+02   3.212534e-01
  8.000000e+01   8.405000e+02   0.000000e+00  -2.740000e+02   3.317898e-01
  8.000000e+01   8.405000e+02   0.000000e+00  -2.730000e+02   3.284939e-01
  8.000000e+01   8.415000e+02   0.000000e+00  -2.720000e+02   3.386025e-01
  8.000000e+01   8.415000e+02   0.000000e+00  -2.710000e+02   3.329800e-01
  8.000000e+01   8.425000e+02   0.000000e+00  -2.700000e+02   3.435246e-01
  8.000000e+01   8.435000e+02   0.000000e+00  -2.690000e+02   3.545283e-01
  8.000000e+01   8.435000e+02   0.000000e+00  -2.680000e+02   3.489016e-01
  8.000000e+01   8.445000e+02   0.000000e+00  -2.670000e+02   3.604006e-01
  8.000000e+01   8.445000e+02   0.000000e+00  -2.660000e+02   3.547731e-01
  8.000000e+01   8.455000e+02   0.000000e+00  -2.650000e+02   3.668037e-01
  8.000000e+01   8.455000e+02   0.000000e+00  -2.640000e+02   3.608480e-01
  8.000000e+01   8.465000e+02   0.000000e+00  -2.630000e+02   3.727102e-01
  8.000000e+01   8.465000e+02   0.000000e+00  -2.620000e+02   3.648615e-01
  8.000000e+01   8.475000e+02   0.000000e+00  -2.610000e+02   3.772212e-01
  8.000000e+01   8.475000e+02   0.000000e+00  -2.600000e+02   3.692486e-01
  8.000000e+01   8.485000e+02   0.000000e+00  -2.590000e+02   3.821392e-01
  8.000000e+01   8.485000e+02   0.000000e+00  -2.580000e+02   3.740392e-01
  8.000000e+01   8.495000e+02   0.000000e+00  -2.570000e+02   3.874971e-01
  8.000000e+01   8.495000e+02   0.000000e+00  -2.560000e+02   3.792663e-01
  8.000000e+01   8.505000e+02   0.000000e+00  -2.550000e+02   3.933312e-01
  8.000000e+01   8.505000e+02   0.000000e+00  -2.540000e+02   3.849661e-01
