#b  le  lmu ltau
0.000000000086 0. -0.02 0.02
0.000000000086 0. -0.04 0.04
0.000000000086 0. -0.06 0.06
0.000000000086 0. -0.08 0.08
0.000000000086 0. -0.1 0.1
0.000000000086 0. -0.12 0.12
0.000000000086 0. -0.14 0.14
0.000000000086 0. -0.16 0.16    
0.000000000086 0. -0.19 0.19
0.000000000086 0. -0.21 0.21
0.000000000086 0. -0.24 0.24
0.000000000086 0. -0.28 0.28
0.000000000086 0. -0.32 0.32
0.000000000086 0. -0.36 0.36
0.000000000086 0. -0.41 0.41
0.000000000086 0. -0.46 0.46
0.000000000086 0. -0.52 0.52
0.000000000086 0. -0.58 0.58
0.000000000086 0. -0.65 0.65
0.000000000086 0. -0.73 0.73
0.000000000086 0. -0.82 0.82
0.000000000086 0. -0.91 0.91
