#b  le  lmu ltau
0.001 -0.0000000001 -0.0000000001 -0.0000000001
0.004 -0.0000000001 -0.0000000001 -0.0000000001
0.007 -0.0000000001 -0.0000000001 -0.0000000001
0.010 -0.0000000001 -0.0000000001 -0.0000000001
0.013 -0.0000000001 -0.0000000001 -0.0000000001
0.016 -0.0000000001 -0.0000000001 -0.0000000001
0.019 -0.0000000001 -0.0000000001 -0.0000000001
0.022 -0.0000000001 -0.0000000001 -0.0000000001
0.025 -0.0000000001 -0.0000000001 -0.0000000001
0.028 -0.0000000001 -0.0000000001 -0.0000000001
0.031 -0.0000000001 -0.0000000001 -0.0000000001
0.034 -0.0000000001 -0.0000000001 -0.0000000001
0.037 -0.0000000001 -0.0000000001 -0.0000000001
0.040 -0.0000000001 -0.0000000001 -0.0000000001
