#b  le  lmu ltau
0.001 -0.00000000003 -0.00000000003 -0.00000000003
0.007 -0.00000000003 -0.00000000003 -0.00000000003
0.013 -0.00000000003 -0.00000000003 -0.00000000003
0.019 -0.00000000003 -0.00000000003 -0.00000000003
0.025 -0.00000000003 -0.00000000003 -0.00000000003
0.031 -0.00000000003 -0.00000000003 -0.00000000003
0.037 -0.00000000003 -0.00000000003 -0.00000000003
0.043 -0.00000000003 -0.00000000003 -0.00000000003
0.049 -0.00000000003 -0.00000000003 -0.00000000003
0.055 -0.00000000003 -0.00000000003 -0.00000000003
0.061 -0.00000000003 -0.00000000003 -0.00000000003
0.067 -0.00000000003 -0.00000000003 -0.00000000003
0.073 -0.00000000003 -0.00000000003 -0.00000000003
