T	muB	muQ	munue	munumu	mnutau	nB	nQ	s_QCD	s_tot	ne	nmu	ntau	nnue	nnumu	nnutau
# Source S1·R1 [input_traj copy.txt] (B=8.6e-11, Le=-5.1e-11, Lmu=-5.1e-11, Ltau=-5.1e-11, eos=1, nf=3)
80	0.000186492	-1.64406e-07	-1.67127e-07	-1.67565e-07	-1.7256e-07	0.000310382	-1.11222e-05	540273	3.60909e+06	-5.80389e-06	-5.23678e-06	0	-0.000178269	-0.000178736	-0.000184064
81	0.000164566	-1.65565e-07	-1.68764e-07	-1.69352e-07	-1.75262e-07	0.000323173	-1.35687e-05	569528	3.75783e+06	-6.99701e-06	-6.47486e-06	0	-0.000184543	-0.000185186	-0.000191649
82	0.000145644	-1.66701e-07	-1.70458e-07	-1.71068e-07	-1.77975e-07	0.000336329	-1.61655e-05	599987	3.91081e+06	-8.42132e-06	-7.69508e-06	0	-0.000191027	-0.00019171	-0.000199451
83	0.000129263	-1.67819e-07	-1.72111e-07	-1.7281e-07	-1.807e-07	0.000349858	-1.8921e-05	631696	4.06812e+06	-9.8553e-06	-9.05996e-06	0	-0.000197612	-0.000198415	-0.000207474
84	0.000115037	-1.68931e-07	-1.73766e-07	-1.74526e-07	-1.83437e-07	0.000363766	-2.18521e-05	664706	4.22984e+06	-1.13723e-05	-1.04582e-05	0	-0.000204349	-0.000205243	-0.000215722
85	0.000102645	-1.7002e-07	-1.75412e-07	-1.76244e-07	-1.86187e-07	0.000378062	-2.49476e-05	699069	4.39607e+06	-1.29859e-05	-1.19741e-05	0	-0.000211225	-0.000212227	-0.0002242
86	9.18208e-05	-1.71098e-07	-1.77051e-07	-1.7795e-07	-1.8895e-07	0.000392754	-2.82266e-05	734842	4.5669e+06	-1.46753e-05	-1.35609e-05	0	-0.000218244	-0.000219353	-0.000232912
87	8.23386e-05	-1.72163e-07	-1.78685e-07	-1.79648e-07	-1.91727e-07	0.000407849	-3.16914e-05	772088	4.74243e+06	-1.64542e-05	-1.52348e-05	0	-0.000225411	-0.000226626	-0.000241864
88	7.40101e-05	-1.73215e-07	-1.80313e-07	-1.8134e-07	-1.94521e-07	0.000423358	-3.53483e-05	810872	4.92277e+06	-1.83246e-05	-1.69997e-05	0	-0.000232724	-0.00023405	-0.000251061
89	6.66759e-05	-1.74246e-07	-1.8194e-07	-1.83031e-07	-1.9733e-07	0.000439289	-3.91946e-05	851266	5.10802e+06	-2.03169e-05	-1.88859e-05	0	-0.000240191	-0.000241632	-0.000260509
90	6.02011e-05	-1.75268e-07	-1.83565e-07	-1.84713e-07	-2.00158e-07	0.000455653	-4.32505e-05	893346	5.29829e+06	-2.24029e-05	-2.08552e-05	0	-0.000247812	-0.000249363	-0.000270213
91	5.44713e-05	-1.76277e-07	-1.85187e-07	-1.86392e-07	-2.03004e-07	0.000472459	-4.75184e-05	937196	5.49371e+06	-2.45945e-05	-2.29275e-05	0	-0.000255589	-0.000257252	-0.000280179
92	4.93888e-05	-1.77276e-07	-1.86806e-07	-1.88068e-07	-2.05871e-07	0.000489719	-5.20062e-05	982903	5.69441e+06	-2.6891e-05	-2.51092e-05	0	-0.000263521	-0.000265302	-0.000290415
